Received DateTime,Date,Time,Day of Week,Hour,Subject
6/16/2026,2026-06-16,21:41:32,Tuesday,21,Notch Training Week #24
6/9/2026,2026-06-09,21:24:35,Tuesday,21,Notch Training Week #23
6/2/2026,2026-06-02,19:22:37,Tuesday,19,Notch Training Week #22
5/26/2026,2026-05-26,21:31:38,Tuesday,21,Notch Training Week #21
5/18/2026,2026-05-18,20:42:12,Monday,20,Notch Training Week #20
5/12/2026,2026-05-12,21:35:59,Tuesday,21,Notch Training Week #19
5/5/2026,2026-05-05,18:30:22,Tuesday,18,Notch Training Week #18
4/28/2026,2026-04-28,21:06:11,Tuesday,21,Notch Training Week #17
4/21/2026,2026-04-21,22:10:28,Tuesday,22,Notch Training Week #16
4/14/2026,2026-04-14,20:14:42,Tuesday,20,Notch Training Week #15
4/6/2026,2026-04-06,20:47:01,Monday,20,Notch Training Week #14
3/30/2026,2026-03-30,21:02:37,Monday,21,Notch Training Week #13
3/23/2026,2026-03-23,20:55:36,Monday,20,Notch Training Week #12
3/17/2026,2026-03-17,21:35:35,Tuesday,21,Notch Training Week #11
3/9/2026,2026-03-09,18:28:20,Monday,18,Notch Training Week #10
3/2/2026,2026-03-02,22:13:50,Monday,22,Notch Training Week #9
2/24/2026,2026-02-24,19:13:01,Tuesday,19,Notch Training Week #8
2/16/2026,2026-02-16,18:22:18,Monday,18,Notch Training Week #7
2/9/2026,2026-02-09,21:32:27,Monday,21,Notch Training Week #5
2/2/2026,2026-02-02,21:34:38,Monday,21,Notch Training Week #5
1/26/2026,2026-01-26,22:07:13,Monday,22,Notch Training Week #4
1/19/2026,2026-01-19,21:17:21,Monday,21,Notch Training Week #3
1/5/2026,2026-01-05,22:22:48,Monday,22,Notch Training Week #2
12/29/2025,2025-12-29,21:47:28,Monday,21,Notch Training Week #51?
12/23/2025,2025-12-23,22:13:57,Tuesday,22,Notch Training Week #50
12/10/2025,2025-12-10,7:53:44,Wednesday,7,Notch Training Week #48
12/2/2025,2025-12-02,22:46:24,Tuesday,22,Notch Training Week #47
11/26/2025,2025-11-26,7:07:36,Wednesday,7,Notch Training Week #46
11/19/2025,2025-11-19,7:28:32,Wednesday,7,Notch Training Week #45
11/11/2025,2025-11-11,20:04:55,Tuesday,20,Notch Training Week #44
11/4/2025,2025-11-04,21:38:03,Tuesday,21,Notch Training Week #43
10/28/2025,2025-10-28,21:39:46,Tuesday,21,Notch Training Week #42
10/21/2025,2025-10-21,20:57:38,Tuesday,20,Notch Training Week #41
10/14/2025,2025-10-14,21:00:18,Tuesday,21,Notch Training Week #40
10/7/2025,2025-10-07,20:56:17,Tuesday,20,Notch Training Week #39
9/30/2025,2025-09-30,21:59:05,Tuesday,21,Notch Training Week #38
9/23/2025,2025-09-23,21:25:42,Tuesday,21,Notch Training Week #37
9/16/2025,2025-09-16,21:52:15,Tuesday,21,Notch Training Week #36
9/9/2025,2025-09-09,23:28:33,Tuesday,23,Notch Training Week #35
9/2/2025,2025-09-02,21:59:39,Tuesday,21,Notch Training Week #34
8/26/2025,2025-08-26,21:44:14,Tuesday,21,Notch Training Week #33
8/19/2025,2025-08-19,17:25:27,Tuesday,17,Notch Training Week #32
8/12/2025,2025-08-12,22:07:51,Tuesday,22,Notch Training Week #31
8/5/2025,2025-08-05,21:31:53,Tuesday,21,Notch Training Week #30
7/29/2025,2025-07-29,23:31:14,Tuesday,23,Notch Training Week #29
7/22/2025,2025-07-22,15:30:01,Tuesday,15,Notch Training Week #28
7/16/2025,2025-07-16,1:30:38,Wednesday,1,Notch Training Week #27
7/8/2025,2025-07-08,22:00:25,Tuesday,22,Notch Training Week #26
7/1/2025,2025-07-01,22:44:23,Tuesday,22,Notch Training Week #25
6/24/2025,2025-06-24,17:14:48,Tuesday,17,Notch Training Week #24
6/17/2025,2025-06-17,18:02:01,Tuesday,18,Notch Training Week #23
6/10/2025,2025-06-10,16:22:50,Tuesday,16,Notch Training Week #22
6/3/2025,2025-06-03,13:11:21,Tuesday,13,Notch Training Week #21
5/27/2025,2025-05-27,18:15:53,Tuesday,18,Notch Training Week #20
5/19/2025,2025-05-19,22:36:56,Monday,22,Notch Training Week #19
5/12/2025,2025-05-12,21:52:40,Monday,21,Notch Training Week #18
4/29/2025,2025-04-29,16:37:07,Tuesday,16,Notch Training Week #16
4/22/2025,2025-04-22,14:54:05,Tuesday,14,Notch Training Week #15
4/14/2025,2025-04-14,22:04:11,Monday,22,Notch Training Week #14
4/8/2025,2025-04-08,20:13:05,Tuesday,20,Notch Training Week #13
